epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1161.43,2.98625,4.29428,4.01265,0.00245,0.70921,0.00858,0.00172,2.83777,4.99314,3.79581,0.000367797,0.000367797,0.000367797
2,2330.38,2.40503,3.51788,3.03338,0.86515,0.13659,0.15832,0.05126,2.21221,3.57066,2.86441,0.000723515,0.000723515,0.000723515
3,3490.09,2.11132,2.93073,2.58909,0.09916,0.38537,0.13722,0.05381,2.26336,3.11104,2.87619,0.00106457,0.00106457,0.00106457
4,4821.83,1.94952,2.6525,2.41765,0.33598,0.64069,0.41629,0.20088,1.80401,2.39705,2.41415,0.00104501,0.00104501,0.00104501
5,6203.91,1.84926,2.47673,2.2899,0.28221,0.56663,0.31566,0.14198,1.76932,2.29655,2.33427,0.00102301,0.00102301,0.00102301
6,7651.04,1.75593,2.33873,2.20603,0.35802,0.57288,0.43347,0.19098,1.8896,2.21397,2.45723,0.00100101,0.00100101,0.00100101
7,9028.95,1.7237,2.25595,2.17726,0.3684,0.6517,0.47802,0.26534,1.60491,1.86224,2.18992,0.000979013,0.000979013,0.000979013
8,10480.9,1.66918,2.18146,2.10125,0.33944,0.70704,0.48574,0.2722,1.55718,1.96595,2.12184,0.000957015,0.000957015,0.000957015
9,11928.6,1.64247,2.08913,2.07286,0.45701,0.69755,0.57588,0.3156,1.57525,1.68649,2.17553,0.000935018,0.000935018,0.000935018
10,13309.6,1.6141,2.07524,2.06848,0.54106,0.65026,0.57685,0.3088,1.53018,1.77589,2.12889,0.00091302,0.00091302,0.00091302
11,14465.9,1.60242,2.02796,2.04763,0.47008,0.66606,0.59876,0.3185,1.55169,1.72822,2.15291,0.000891022,0.000891022,0.000891022
12,15624,1.57149,1.96385,2.02164,0.52723,0.68733,0.64932,0.34298,1.56437,1.61251,2.13709,0.000869024,0.000869024,0.000869024
13,16784.7,1.5578,1.94391,1.99729,0.55932,0.60205,0.62719,0.34488,1.48086,1.60872,2.04114,0.000847026,0.000847026,0.000847026
14,17946.1,1.52381,1.89653,1.98007,0.54127,0.65784,0.68707,0.39817,1.46157,1.60835,2.04594,0.000825029,0.000825029,0.000825029
15,19100.8,1.52499,1.85247,1.97109,0.65053,0.65373,0.67942,0.39775,1.45493,1.4882,2.05409,0.000803031,0.000803031,0.000803031
16,20257,1.51217,1.80677,1.94833,0.69502,0.67329,0.73076,0.41684,1.53721,1.4646,2.09993,0.000781033,0.000781033,0.000781033
17,21417.1,1.50208,1.79533,1.94692,0.67044,0.67367,0.71222,0.41559,1.45814,1.52255,2.01134,0.000759035,0.000759035,0.000759035
18,22575.2,1.47087,1.74407,1.90239,0.58154,0.70893,0.69566,0.4054,1.49664,1.58421,2.06955,0.000737037,0.000737037,0.000737037
19,23737.5,1.47209,1.73621,1.91577,0.66727,0.70986,0.76717,0.41007,1.50929,1.41997,2.02701,0.00071504,0.00071504,0.00071504
20,24899.4,1.45326,1.72544,1.90562,0.72942,0.61647,0.72413,0.39602,1.48796,1.5236,2.08691,0.000693042,0.000693042,0.000693042
21,26062.7,1.43642,1.69519,1.88224,0.70439,0.69936,0.77001,0.44793,1.38295,1.35015,1.94551,0.000671044,0.000671044,0.000671044
